"","State","Date","Total_cc","Male_cc","Female_cc","Male_per_cc","Female_per_cc","Male_cr_cc","Female_cr_cc","Total_D","Male_d","Female_d","Male_per_d","Female_per_d","Male_cr_d","Female_cr_d","Source","2018 Pop","2019 Pop","Medicaid Expand","2018 Uninsured","2019 Uninsured","Difference","Median Income","Percent Pov","case_ratio","death_ratio"
"11","Florida",2020-04-13,19895,NA,NA,NA,NA,0,0,"461",NA,NA,NA,NA,0,0,"https://experience.arcgis.com/experience/96dd742462124fa0b38ddedb9b25e429/","21,244,317","21,477,737","N","13.0","13.2","0.2","54,644","13.5",NA,NA
"12","Georgia",2020-04-13,12550,5522,6777,44,54,110.17,128.22,"442",NA,NA,NA,NA,0,0,"https://dph.georgia.gov/covid-19-daily-status-report","10,511,131","10,617,423","N","13.7","13.4","-0.2","55,821","14.0",0.814814814814815,NA
"13","Hawaii",2020-04-13,499,NA,NA,NA,NA,0,0,"9",NA,NA,NA,NA,0,0,"https://health.hawaii.gov/coronavirusdisease2019/what-you-should-know/current-situation-in-hawaii/","1,420,593","1,415,872","Y","4.1","4.2","0.1","80,108","9.9",NA,NA
"14","Idaho",2020-04-13,1426,687,739,48.2,51.8,81.29,87.7,"27",NA,NA,NA,NA,0,0,"https://public.tableau.com/profile/idaho.division.of.public.health#!/vizhome/DPHIdahoCOVID-19Dashboard_V2/Story1","1,750,536","1,787,065","N","11.1","10.8","-0.3","58,728","11.5",0.929634641407307,NA
"15","Illinois",2020-04-13,20852,10030,10509,48.1,50.4,159.31,161.05,"720",415,302,57.6,41.9,6.59,4.62,"http://www.dph.illinois.gov/covid19/covid19-statistics","12,723,071","12,671,821","Y","7.0","7.4","*0.4","70,145","10.9",0.954420020934437,1.37417218543046
"16","Indiana",2020-04-13,7928,3504,4337,44.2,54.7,107.13,128.82,"343",206,128,60.1,37.3,6.3,3.8,"https://coronavirus.in.gov/","6,695,497","6,732,219","+Y","8.3","8.7","*0.5","59,892","11.6",0.807931750057644,1.609375
"17","Iowa",2020-04-13,1587,768,819,48.39,51.61,49.41,51.9,"41",NA,NA,NA,NA,0,0,"https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus","3,148,618","3,155,070","Y","4.7","5.0","0.3","68,718","8.2",0.937728937728938,NA
"18","Kansas",2020-04-13,1494,683,810,45.7,54.2,47.11,55.49,"76",NA,NA,NA,NA,0,0,"https://www.coronavirus.kdheks.gov/","2,911,359","2,913,314","N","8.8","9.2","0.4","63,938","10.9",0.84320987654321,NA
"19","Kentucky",2020-04-13,2291,881,1064,38.45,46.44,40.28,47.21,"122",60,62,49.18,50.82,2.74,2.75,"https://govstatus.egov.com/kycovid19","4,461,153","4,467,673","Y","5.6","6.4","*0.8","54,555","14.6",0.828007518796993,0.967741935483871
"20","Louisiana",2020-04-13,20595,8238,11327,40,55,361.32,475.21,"840",NA,NA,NA,NA,0,0,"http://ldh.la.gov/coronavirus/","4,659,690","4,648,794","#Y","8.0","8.9","*0.9","49,973","19.8",0.727288779023572,NA
"21","Maine",2020-04-13,633,323,310,51,49,49.49,45.58,"19",NA,NA,NA,NA,0,0,"https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml","1,339,057","1,344,212","N","8.0","8.0","Z","58,663","12.0",1.04193548387097,NA
"22","Maryland",2020-04-13,8936,4100,4800,45.88,53.72,140.88,155.18,"262",145,117,55.34,44.66,4.98,3.78,"https://coronavirus.maryland.gov/","6,035,802","6,045,680","Y","6.0","6.0","Z","86,223","7.8",0.854166666666667,1.23931623931624
"23","Massachusetts",2020-04-13,25475,11390,13315,44.71,52.27,343.7,378.67,"756",NA,NA,NA,NA,0,0,"https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring","6,882,635","6,892,503","Y","2.8","3.0","*0.2","86,345","10.0",0.85542621104018,NA
"24","Michigan",2020-04-13,24638,11333,13058,46,53,231.34,258.15,"1487",848,639,57,43,17.3,12.64,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html","9,984,072","9,986,857","^Y","5.4","5.8","*0.4","60,449","11.0",0.86789707459029,1.32707355242567
"25","Minnesota",2020-04-13,1621,778,843,48,52,28.28,30.37,"70",NA,NA,NA,NA,0,0,"https://www.health.state.mn.us/diseases/coronavirus/situation.html#raceeth1","5,606,249","5,639,632","Y","4.4","4.9","*0.5","71,817","8.2",0.922894424673784,NA
"26","Mississippi",2020-04-13,2942,1197,1730,40.7,58.8,82.56,112.45,"98",NA,NA,NA,NA,0,0,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html#caseTable","2,981,020","2,976,149","N","12.1","13.0","*0.8","42,781","19.0",0.691907514450867,NA
"27","Missouri",2020-04-13,4388,1659,1830,37.81,41.7,55.51,59.01,"114",NA,NA,NA,NA,0,0,"https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php","6,121,623","6,137,428","N","9.4","10.0","*0.6","61,726","11.9",0.90655737704918,NA
"28","Montana",2020-04-13,394,205,189,52,48,39.08,36.54,"7",NA,NA,NA,NA,0,0,"https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt/demographics","1,060,665","1,068,778","+Y","8.2","8.3","0.1","57,679","10.3",1.08465608465608,NA
"29","Nebraska",2020-04-13,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"http://dhhs.ne.gov/Pages/Coronavirus.aspx","1,925,614","1,934,408","N","8.3","8.3","Z","67,575","11.0",NA,NA
"30","Nevada",2020-04-13,2971,1010,1367,34,46,68.85,93.88,"120",NA,NA,NA,NA,0,0,"https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9","3,027,341","3,080,156","Y","11.2","11.4","0.2","61,864","13.1",0.738844184345282,NA
"31","New Hampshire",2020-04-13,1020,551,469,54,46,82.83,69.14,"23",NA,NA,NA,NA,0,0,"https://www.nh.gov/covid19/","1,353,465","1,359,711","^Y","5.7","6.3","0.5","81,346","6.6",1.17484008528785,NA
"32","New Jersey",2020-04-13,64585,37459,31647,58,49,863.93,696.16,"2443",NA,NA,NA,NA,0,0,"https://maps.arcgis.com/apps/MapSeries/index.html?appid=c2efd1898e48452e83d7218329e953d7","8,886,025","8,882,190","Y","7.4","7.9","*0.4","74,176","9.1",1.18365089897937,NA
"33","New Mexico",2020-04-13,1484,715,769,48.18,51.82,69.02,72.78,"36",NA,NA,NA,NA,0,0,"https://cv.nmhealth.org/","2,092,741","2,096,829","Y","9.5","10.0","0.4","48,283","18.2",0.929778933680104,NA
"34","New York",2020-04-13,195031,104732,89129,53.7,45.7,1100.17,882.56,"10056",5983,4053,59.5,40.3,62.85,40.13,"https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Fatalities?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n","19,530,351","19,453,561","Y","5.4","5.2","-0.2","67,274","11.9",1.17506086683347,1.47619047619048
"35","North Carolina",2020-04-13,4816,2167,2552,45,53,43.83,48.98,"86",60,25,70,29,1.22,0.48,"https://www.ncdhhs.gov/divisions/public-health/covid19/covid-19-nc-case-count#by-race-ethnicity","10,381,615","10,488,084","N","10.7","11.3","*0.5","53,369","14.1",0.849137931034483,2.4
"36","North Dakota",2020-04-13,331,152,179,45.92,54.08,39.36,48.9,"8",NA,NA,NA,NA,0,0,"https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases","758,080","762,062","Y","7.3","6.9","-0.4","66,505","11.1",0.849162011173184,NA
"37","Ohio",2020-04-13,6975,3348,3627,48,52,58.7,61.08,"274",170,104,62,38,2.98,1.75,"https://coronavirus.ohio.gov/wps/portal/gov/covid-19/home","11,676,341","11,689,100","Y","6.5","6.6","0.1","61,633","12.4",0.923076923076923,1.63461538461538
"38","Oklahoma",2020-04-13,2069,929,1140,44.9,55.1,47.85,57.68,"99",54,45,54.55,45.45,2.78,2.28,"https://coronavirus.health.ok.gov/","3,940,235","3,956,971","N","14.2","14.3","0.1","54,434","13.1",0.814912280701754,1.2
"39","Oregon",2020-04-13,1584,713,871,45,55,35.23,42.31,"53",27,26,49.09,47.27,1.33,1.26,"https://govstatus.egov.com/OR-OHA-COVID-19","4,181,886","4,217,737","Y","7.1","7.2","0.1","69,165","10.6",0.818599311136625,1.03846153846154
"40","Pennsylvania",2020-04-13,29441,13543,15604,46,53,216.23,239.03,"756",420,331,55.56,43.78,6.71,5.07,"https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx","12,800,922","12,801,989","^Y","5.5","5.8","*0.2","64,524","11.4",0.8679184824404,1.26888217522659
"41","Puerto Rico",2020-04-13,903,476,427,52.71,47.29,29.51,24.07,"45",NA,NA,NA,NA,0,0,"https://estadisticas.pr/en/covid-19",NA,NA,NA,NA,NA,NA,NA,NA,1.11475409836066,NA
"42","Rhode Island",2020-04-13,2976,1356,1620,45.56,54.44,264.13,298.21,"73",NA,NA,NA,NA,0,0,"https://ri-department-of-health-covid-19-data-rihealth.hub.arcgis.com/","1,058,287","1,059,361","Y","4.1","4.1","Z","62,266","10.1",0.837037037037037,NA
"43","South Carolina",2020-04-13,3439,1513,1823,44,53,62.9,71.47,"87",57,30,65,35,2.35,1.19,"https://scdhec.gov/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/testing-sc-data-covid-19","5,084,156","5,148,714","N","10.5","10.8","0.4","57,444","14.0",0.829950630828305,1.9
"44","South Dakota",2020-04-13,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"https://doh.sd.gov/news/coronavirus.aspx","878,698","884,659","N","9.8","10.2","0.4","59,463","10.7",NA,NA
"45","Tennessee",2020-04-13,5610,2581,2861,46,51,79.56,83.97,"109",NA,NA,NA,NA,0,0,"https://www.tn.gov/health/cedep/ncov.html","6,771,631","6,829,174","N","10.1","10.1","Z","56,060","11.7",0.902132121635792,NA
"46","Texas",2020-04-13,13906,6842,6619,49.2,47.6,49.4,47.16,"287",NA,NA,NA,NA,0,0,"https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83","28,628,666","28,995,881","N","17.7","18.4","*0.6","59,785","13.4",1.03369088986252,NA
"47","US Virgin Island",2020-04-13,51,19,32,37.25,62.75,NA,NA,"1",NA,NA,NA,NA,NA,NA,"https://doh.vi.gov/covid19usvi",NA,NA,NA,NA,NA,NA,NA,NA,0.59375,NA
"48","Utah",2020-04-13,2363,1251,1108,52.94,46.89,81.62,73.25,"18",NA,NA,NA,NA,0,0,"https://coronavirus.utah.gov/case-counts/","3,153,550","3,205,958","N","9.4","9.7","0.2","77,067","7.8",1.12906137184116,NA
"49","Vermont",2020-04-13,748,362,379,48.4,50.67,117.55,119.56,"28",NA,NA,NA,NA,0,0,"https://vcgi.maps.arcgis.com/apps/opsdashboard/index.html#/6128a0bc9ae14e98a686b635001ef7a7","624,358","623,989","Y","4.0","4.5","0.5","70,066","9.2",0.955145118733509,NA
"50","Virginia",2020-04-13,5747,2776,2908,48.3,50.6,67.07,68.02,"149",85,60,57.05,40.27,2.05,1.4,"https://public.tableau.com/views/VirginiaCOVID-19Dashboard/VirginiaCOVID-19Dashboard?:embed=yes&:display_count=yes&:showVizHome=no&:toolbar=no","8,501,286","8,535,519","~Y","8.8","7.9","*-0.9","77,151","10.1",0.954607977991747,1.41666666666667
"51","Virginia",2020-04-13,5747,2776,2908,48.3,50.6,67.07,68.02,"149",85,60,57.05,40.27,2.05,1.4,"https://public.tableau.com/views/VirginiaCOVID-19Dashboard/VirginiaCOVID-19Dashboard?:embed=yes&:display_count=yes&:showVizHome=no&:toolbar=no","1,804,291","1,792,147","~Y","8.8","7.9","*-0.9","77,151","10.1",0.954607977991747,1.41666666666667
"52","Washington",2020-04-13,10538,4742,5480,45,52,130.08,150.19,"516",294,222,57,43,8.07,6.08,"https://www.doh.wa.gov/Emergencies/Coronavirus","7,523,869","7,614,893","Y","6.4","6.6","0.2","79,726","9.7",0.865328467153285,1.32432432432432
"53","West Virginia",2020-04-13,718,301,416,41.92,57.94,33.29,44.98,"9",NA,NA,NA,NA,0,0,"https://dhhr.wv.gov/COVID-19/Pages/default.aspx",NA,NA,NA,NA,NA,NA,NA,NA,0.723557692307692,NA
"54","Wisconsin",2020-04-13,3428,1611,1817,47,53,56.09,62.52,"154",92,62,60,40,3.22,2.12,"https://www.dhs.wisconsin.gov/covid-19/data.htm","5,807,406","5,822,434","N","5.5","5.7","0.3","62,629","8.9",0.886626307099615,1.48387096774194
"55","Wyoming",2020-04-13,275,137,141,49.8,51.3,46.11,49.52,"1",NA,NA,NA,NA,0,0,"https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/covid-19-map-and-statistics/","577,601","578,759","N","10.5","12.3","*1.8","62,539","11.2",0.971631205673759,NA
"56","Alabama",2020-04-27,6421,2650,3706,41.27,57.72,112.49,147.72,"219",129,90,58.7,41.3,5.46,3.61,"https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/6d2771faa9da4a2786a509d82c8cf0f7",NA,NA,NA,NA,NA,NA,NA,NA,0.715056664867782,1.43333333333333
"57","Alaska",2020-04-27,341,170,171,49.9,50.1,44.09,48.45,"8",4,5,44.4,55.6,1.04,1.42,"https://coronavirus-response-alaska-dhss.hub.arcgis.com/","4,887,681","4,903,185","+Y","12.6","12.2","-0.4","68,734","12.6",0.994152046783626,0.8
"58","Alaska",2020-04-27,341,170,171,49.9,50.1,44.09,48.45,"8",4,5,44.4,55.6,1.04,1.42,"https://coronavirus-response-alaska-dhss.hub.arcgis.com/","735,139","731,545","+Y","12.6","12.2","-0.4","68,734","12.6",0.994152046783626,0.8
"59","Arizona",2020-04-27,6526,3067,3459,47,53,88.82,99.01,"275",160,116,58,42,4.62,3.31,"https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home","7,158,024","7,278,717","Y","10.6","11.3","*0.7","62,283","13.2",0.886672448684591,1.37931034482759
"60","Arkansas",2020-04-27,3001,1840,1152,61.3,38.4,125.28,75.7,"50",NA,NA,NA,NA,0,0,"https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus","3,009,733","3,017,804","Y","8.2","9.1","*0.9","49,781","15.4",1.59722222222222,NA
"61","California",2020-04-27,42164,20957,20908,49.7,49.59,107.73,106.16,"1710",1026,410,60,40,5.27,2.08,"https://update.covid19.ca.gov/","39,461,588","39,512,223","Y","7.2","7.7","*0.5","70,489","12.0",1.00234360053568,2.50243902439024
"62","Colorado",2020-04-27,13441,6415,6847,47.73,50.94,230.7,248.95,"680",393,163,57.79,41.47,14.13,5.93,"https://covid19.colorado.gov/case-data","5,691,287","5,758,736","Y","7.5","8.0","*0.5","73,034","9.0",0.936906674455966,2.41104294478528
"63","Connecticut",2020-04-27,25269,11359,13554,44.95,53.64,650.15,738.89,"1924",980,931,50.94,48.39,56.09,50.75,"https://portal.ct.gov/Coronavirus","3,571,520","3,565,287","Y","5.3","5.9","*0.6","72,812","10.4",0.838055186660764,1.05263157894737
"64","Delaware",2020-04-27,4034,NA,NA,NA,NA,0,0,"120",NA,NA,NA,NA,0,0,"https://myhealthycommunity.dhss.delaware.gov/locations/state","965,479","973,764","Y","5.7","6.6","0.9","65,012","8.1",NA,NA
"65","District of Columbia",2020-04-27,3841,1957,1876,50.95,48.84,602.37,521.67,"178",NA,NA,NA,NA,0,0,"https://coronavirus.dc.gov/release/coronavirus-data-april-30-2020","701,547","705,749","Y","3.2","3.5","0.4",NA,"14.3",1.04317697228145,NA
"66","Florida",2020-04-27,31528,15873,15597,50.35,49.47,157.6,148.17,"1074",658,436,61.27,40.6,6.53,4.14,"https://experience.arcgis.com/experience/96dd742462124fa0b38ddedb9b25e429/","21,244,317","21,477,737","N","13.0","13.2","0.2","54,644","13.5",1.0176957107136,1.50917431192661
"67","Georgia",2020-04-27,23481,10332,12680,44,54,206.13,239.91,"916",485,411,52.95,44.87,9.68,7.78,"https://dph.georgia.gov/covid-19-daily-status-report","10,511,131","10,617,423","N","13.7","13.4","-0.2","55,821","14.0",0.814826498422713,1.18004866180049
"68","Hawaii",2020-04-27,606,NA,NA,NA,NA,0,0,"14",NA,NA,NA,NA,0,0,"https://health.hawaii.gov/coronavirusdisease2019/what-you-should-know/current-situation-in-hawaii/","1,420,593","1,415,872","Y","4.1","4.2","0.1","80,108","9.9",NA,NA
"69","Idaho",2020-04-27,1897,877,1015,46.23,53.51,103.72,120.51,"56",NA,NA,NA,NA,0,0,"https://public.tableau.com/profile/idaho.division.of.public.health#!/vizhome/DPHIdahoCOVID-19Dashboard_V2/Story1","1,750,536","1,787,065","N","11.1","10.8","-0.3","58,728","11.5",0.864039408866995,NA
"70","Illinois",2020-04-27,43903,21102,22026,48.07,50.17,335.17,337.53,"1933",1124,807,58.15,41.75,17.85,12.37,"http://www.dph.illinois.gov/covid19/covid19-statistics","12,723,071","12,671,821","Y","7.0","7.4","*0.4","70,145","10.9",0.958049577771724,1.39281288723668
"71","Indiana",2020-04-27,15012,6680,8091,44.5,53.9,204.23,240.36,"813",451,345,55.5,42.4,13.79,10.24,"https://coronavirus.in.gov/","6,695,497","6,732,219","+Y","8.3","8.7","*0.5","59,892","11.6",0.825608701025831,1.30724637681159
"72","Iowa",2020-04-27,5475,2842,2551,51.9,46.6,182.8,161.68,"118",NA,NA,NA,NA,0,0,"https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus","3,148,618","3,155,070","Y","4.7","5.0","0.3","68,718","8.2",1.1140729125833,NA
"73","Kansas",2020-04-27,3174,1593,1559,50.19,49.12,109.91,106.83,"118",NA,NA,NA,NA,0,0,"https://www.coronavirus.kdheks.gov/","2,911,359","2,913,314","N","8.8","9.2","0.4","63,938","10.9",1.02180885182809,NA
"74","Kentucky",2020-04-27,4074,1692,2184,41.53,53.61,77.37,96.92,"208",93,115,44.71,55.29,4.25,5.1,"https://govstatus.egov.com/kycovid19","4,461,153","4,467,673","Y","5.6","6.4","*0.8","54,555","14.6",0.774725274725275,0.808695652173913
"75","Louisiana",2020-04-27,26773,10709,14993,40,56,469.71,628.99,"1670",NA,NA,NA,NA,0,0,"http://ldh.la.gov/coronavirus/","4,659,690","4,648,794","#Y","8.0","8.9","*0.9","49,973","19.8",0.714266657773628,NA
"76","Maine",2020-04-27,1015,465,550,45.81,54.19,71.29,80.82,"50",NA,NA,NA,NA,0,0,"https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml","1,339,057","1,344,212","N","8.0","8.0","Z","58,663","12.0",0.845454545454545,NA
"77","Maryland",2020-04-27,18581,8618,9963,46.38,53.62,296.12,322.1,"827",427,400,51.63,48.37,14.67,12.93,"https://coronavirus.maryland.gov/","6,035,802","6,045,680","Y","6.0","6.0","Z","86,223","7.8",0.86500050185687,1.0675
"78","Massachusetts",2020-04-27,54938,24118,29331,43.9,53.39,727.77,834.16,"2899",1447,1443,49.91,49.78,43.66,41.04,"https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring","6,882,635","6,892,503","Y","2.8","3.0","*0.2","86,345","10.0",0.822269953291739,1.002772002772
"79","Michigan",2020-04-27,37778,17000,20400,45,54,347,403.29,"3315",1823,1492,55,45,37.22,29.49,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html","9,984,072","9,986,857","^Y","5.4","5.8","*0.4","60,449","11.0",0.833333333333333,1.22184986595174
"80","Minnesota",2020-04-27,3602,1765,1801,49,50,64.14,64.89,"272",NA,NA,NA,NA,0,0,"https://www.health.state.mn.us/diseases/coronavirus/situation.html#raceeth1","5,606,249","5,639,632","Y","4.4","4.9","*0.5","71,817","8.2",0.980011104941699,NA
"81","Mississippi",2020-04-27,5911,2400,3487,40.6,59,165.46,226.7,"227",NA,NA,NA,NA,0,0,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html#caseTable","2,981,020","2,976,149","N","12.1","13.0","*0.8","42,781","19.0",0.688270719816461,NA
"82","Missouri",2020-04-27,6997,3150,3777,45.02,53.98,105.39,121.79,"274",NA,NA,NA,NA,0,0,"https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php","6,121,623","6,137,428","N","9.4","10.0","*0.6","61,726","11.9",0.833995234312947,NA
"83","Montana",2020-04-27,448,215,233,47.99,52.01,41.01,45.02,"14",NA,NA,NA,NA,0,0,"https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt/demographics","1,060,665","1,068,778","+Y","8.2","8.3","0.1","57,679","10.3",0.92274678111588,NA
"84","Nebraska",2020-04-27,3028,NA,NA,NA,NA,0,0,"56",NA,NA,NA,NA,0,0,"http://dhhs.ne.gov/Pages/Coronavirus.aspx","1,925,614","1,934,408","N","8.3","8.3","Z","67,575","11.0",NA,NA
"85","Nevada",2020-04-27,4602,1933,2531,42,55,131.74,173.88,"206",NA,NA,NA,NA,0,0,"https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9","3,027,341","3,080,156","Y","11.2","11.4","0.2","61,864","13.1",0.763729751086527,NA
"86","New Hampshire",2020-04-27,1846,664,782,35.97,42.36,99.85,115.23,"60",NA,NA,NA,NA,0,0,"https://www.nh.gov/covid19/","1,353,465","1,359,711","^Y","5.7","6.3","0.5","81,346","6.6",0.849104859335038,NA
"87","New Jersey",2020-04-27,109038,43615,65423,40,60,1005.9,1439.16,"5938",NA,NA,NA,NA,0,0,"https://maps.arcgis.com/apps/MapSeries/index.html?appid=c2efd1898e48452e83d7218329e953d7","8,886,025","8,882,190","Y","7.4","7.9","*0.4","74,176","9.1",0.666661571618544,NA
"88","New Mexico",2020-04-27,2726,1155,1297,42.37,47.58,111.5,122.75,"99",NA,NA,NA,NA,0,0,"https://cv.nmhealth.org/","2,092,741","2,096,829","Y","9.5","10.0","0.4","48,283","18.2",0.890516576715497,NA
"89","New York",2020-04-27,288045,149783,136821,52,47.5,1573.43,1354.81,"16966",10114,6843,59.61,40.33,106.24,67.76,"https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Fatalities?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n","19,530,351","19,453,561","Y","5.4","5.2","-0.2","67,274","11.9",1.09473691904021,1.47800672219787
"90","North Carolina",2020-04-27,8830,4150,4503,47,51,83.93,86.42,"299",179,117,60,39,3.63,2.24,"https://www.ncdhhs.gov/divisions/public-health/covid19/covid-19-nc-case-count#by-race-ethnicity","10,381,615","10,488,084","N","10.7","11.3","*0.5","53,369","14.1",0.921607817010882,1.52991452991453
"91","North Dakota",2020-04-27,867,453,414,52.25,47.75,117.3,113.11,"17",NA,NA,NA,NA,0,0,"https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases","758,080","762,062","Y","7.3","6.9","-0.4","66,505","11.1",1.09420289855072,NA
"92","Ohio",2020-04-27,15360,8909,6451,58,42,156.19,108.64,"728",414,314,56.87,43.13,7.26,5.29,"https://coronavirus.ohio.gov/wps/portal/gov/covid-19/home","11,676,341","11,689,100","Y","6.5","6.6","0.1","61,633","12.4",1.38102619748876,1.31847133757962
"93","Oklahoma",2020-04-27,3253,1427,1818,43.87,55.89,73.5,91.98,"195",103,92,52.82,47.18,5.3,4.65,"https://coronavirus.health.ok.gov/","3,940,235","3,956,971","N","14.2","14.3","0.1","54,434","13.1",0.784928492849285,1.1195652173913
"94","Oregon",2020-04-27,2311,1048,1253,45.35,54.22,51.8,60.86,"91",52,39,57.14,42.86,2.57,1.89,"https://govstatus.egov.com/OR-OHA-COVID-19","4,181,886","4,217,737","Y","7.1","7.2","0.1","69,165","10.6",0.836392657621708,1.33333333333333
"95","Pennsylvania",2020-04-27,41165,18355,22236,44.59,54.02,293.06,340.63,"1550",825,719,53.23,46.39,13.17,11.01,"https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx","12,800,922","12,801,989","^Y","5.5","5.8","*0.2","64,524","11.4",0.825463212808059,1.14742698191933
"96","Puerto Rico",2020-04-27,865,443,422,51.21,48.79,27.47,23.79,"84",NA,NA,NA,NA,0,0,"https://estadisticas.pr/en/covid-19",NA,NA,NA,NA,NA,NA,NA,NA,1.04976303317536,NA
