Table with row headers in column A and column headers in rows 6 through 10,,,,,,,,,,,,,,
Table A3. ,,,,,,,,,,,,,,
"Percentage of People Without Health Insurance Coverage by State: 2010, 2018, and 2019",,,,,,,,,,,,,,
"(Numbers in thousands. Civilian noninstitutionalized population.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/acs/tech_docs/accuracy/ACS_Accuracy_of_Data_2019.pdf) ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
State,Medicaid Expansion State?        Yes (Y) or No (N)1,2010 Uninsured,,2018 Uninsured,,2019 Uninsured,,Difference in Uninsured,,,,,,
New Jersey…………………………..,Y,13.2,0.2,7.4,0.2,7.9,0.2,*0.4,0.3,*-5.4,0.3,,,
New Mexico………………………….,Y,19.6,0.7,9.5,0.6,10.0,0.6,0.4,0.8,*-9.6,0.9,,,
New York………………………………,Y,11.9,0.2,5.4,0.1,5.2,0.1,-0.2,0.2,*-6.7,0.2,,,
North Carolina…………………….,N,16.8,0.3,10.7,0.2,11.3,0.3,*0.5,0.3,*-5.5,0.4,,,
North Dakota……………………….,Y,9.8,0.7,7.3,0.6,6.9,0.7,-0.4,0.9,*-2.9,1.0,,,
Ohio……………………………………….,Y,12.3,0.2,6.5,0.2,6.6,0.2,0.1,0.3,*-5.7,0.3,,,
Oklahoma……………………………,N,18.9,0.3,14.2,0.3,14.3,0.3,0.1,0.5,*-4.6,0.5,,,
Oregon………………………………….,Y,17.1,0.4,7.1,0.3,7.2,0.3,0.1,0.4,*-10.0,0.5,,,
Pennsylvania………………………,^Y,10.2,0.2,5.5,0.1,5.8,0.2,*0.2,0.2,*-4.4,0.3,,,
Rhode Island……………………….,Y,12.2,0.7,4.1,0.5,4.1,0.6,Z,0.8,*-8.1,0.9,,,
,,,,,,,,,,,,,,
South Carolina……………………,N,17.5,0.4,10.5,0.4,10.8,0.3,0.4,0.5,*-6.7,0.5,,,
South Dakota………………………,N,12.4,0.9,9.8,0.6,10.2,0.7,0.4,0.9,*-2.2,1.1,,,
Tennessee…………………………..,N,14.4,0.4,10.1,0.3,10.1,0.3,Z,0.4,*-4.2,0.5,,,
Texas……………………………………..,N,23.7,0.2,17.7,0.2,18.4,0.2,*0.6,0.3,*-5.4,0.3,,,
Utah………………………………………..,N,15.3,0.6,9.4,0.5,9.7,0.5,0.2,0.7,*-5.7,0.8,,,
Vermont………………………………..,Y,8.0,0.7,4.0,0.5,4.5,0.5,0.5,0.7,*-3.6,0.8,,,
Virginia…………………………………..,~Y,13.1,0.3,8.8,0.3,7.9,0.3,*-0.9,0.4,*-5.1,0.4,,,
Washington………………………….,Y,14.2,0.4,6.4,0.2,6.6,0.3,0.2,0.3,*-7.6,0.4,,,
West Virginia……………………….,Y,14.6,0.6,6.4,0.4,6.7,0.4,0.3,0.6,*-7.9,0.7,,,
Wisconsin…………………………….,N,9.4,0.2,5.5,0.2,5.7,0.2,0.3,0.3,*-3.7,0.3,,,
Wyoming……………………………….,N,14.9,1.1,10.5,0.9,12.3,1.3,*1.8,1.5,*-2.6,1.7,,,
,,,,,,,,,,,,,,
*Statistically different from zero at the 90 percent confidence level.,,,,,,,,,,,,,,
Z Rounds to zero.,,,,,,,,,,,,,,
"^ Expanded Medicaid eligibility after January 1, 2014, and on or before January 1, 2015.  ",,,,,,,,,,,,,,
"+ Expanded Medicaid eligibility after January 1, 2015, and on or before January 1, 2016.  ",,,,,,,,,,,,,,
"# Expanded Medicaid eligibility after January 1, 2016, and on or before  January 1, 2017.  ",,,,,,,,,,,,,,
"~ Expanded Medicaid eligibility after January 1, 2018, and on or before January 1, 2019.  ",,,,,,,,,,,,,,
"1 Medicaid expansion status as of January 1, 2019. For more information, see <www.medicaid.gov/state-overviews/index.html>. ",,,,,,,,,,,,,,
"2 A margin of error is a measure of an estimate's variability. The larger the margin of error  in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval. Margins of error shown in this table are based on standard errors calculated using replicate weights.",,,,,,,,,,,,,,
"Note: Differences are calculated with unrounded numbers, which may produce different results from using the rounded values in the table. ",,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2010, 2018, and 2019 American Community Surveys (ACS), 1-Year Estimates.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
